vessel,begin_date,end_date,begin_port_id,end_port_id
1,2019-01-01 19:26:00,2019-01-16 22:59:00,138,102
1,2019-01-17 22:50:00,2019-02-02 16:54:00,102,138
1,2019-02-14 22:44:00,2019-03-01 10:51:00,138,33
1,2019-03-02 07:48:00,2019-03-16 06:53:00,33,138
1,2019-03-18 04:07:00,2019-04-13 10:15:30,138,72
1,2019-04-14 18:39:34,2019-05-14 14:46:32,72,138
1,2019-05-15 14:49:17,2019-06-12 06:58:26,138,72
1,2019-06-16 20:54:31,2019-07-15 16:32:23,72,138
1,2019-07-17 16:33:21,2019-08-12 23:43:51,138,72
1,2019-08-19 02:55:39,2019-09-14 18:59:32,72,138
1,2019-09-16 16:31:37,2019-09-28 23:50:04,138,95
1,2019-10-01 10:31:59,2019-10-15 16:30:36,95,138
1,2019-10-17 10:31:40,2019-11-01 04:30:14,138,27
1,2019-11-02 07:27:33,2019-11-16 00:44:35,27,138
1,2019-11-18 08:16:32,2019-11-30 09:41:50,138,95
1,2019-12-03 14:31:38,2019-12-16 11:30:44,95,138
2,2019-01-14 07:59:00,2019-01-29 10:59:00,13,104
2,2019-01-30 19:54:00,2019-02-13 04:49:00,104,13
2,2019-02-15 07:59:00,2019-03-14 12:58:00,13,10
2,2019-03-16 21:42:00,2019-04-09 04:18:27,10,16
2,2019-04-10 06:26:37,2019-04-22 01:15:45,16,138
2,2019-04-24 04:18:11,2019-05-21 13:31:19,138,134
2,2019-05-23 08:48:09,2019-06-13 17:50:47,134,10
2,2019-07-12 10:33:51,2019-07-24 01:31:40,10,36
2,2019-07-25 02:56:53,2019-08-08 06:27:48,36,97
2,2019-08-09 11:43:52,2019-08-26 13:30:50,97,134
2,2019-08-27 13:49:30,2019-09-07 00:05:46,134,55
2,2019-09-11 04:41:25,2019-10-07 21:46:51,55,11
2,2019-10-08 23:50:01,2019-11-10 00:43:31,11,138
2,2019-11-11 05:31:21,2019-11-29 08:28:18,138,134
2,2019-11-30 08:31:29,2019-12-14 15:35:34,134,55
3,2019-01-09 01:59:00,2019-01-10 13:58:00,60,34
3,2019-01-11 10:59:00,2019-01-22 16:56:00,34,104
3,2019-01-24 07:53:00,2019-02-06 10:44:00,104,54
3,2019-02-10 04:55:00,2019-02-15 04:57:00,54,76
3,2019-02-16 10:09:00,2019-03-05 10:14:00,76,32
3,2019-03-06 13:58:00,2019-03-18 09:52:00,32,74
3,2019-03-20 03:42:00,2019-03-22 09:50:00,74,7
3,2019-03-22 12:11:00,2019-04-19 13:19:52,7,138
3,2019-04-21 22:17:28,2019-05-06 08:47:28,138,83
3,2019-05-07 13:32:16,2019-05-21 16:28:44,83,138
3,2019-05-23 16:34:06,2019-05-30 08:40:02,138,83
3,2019-05-31 14:50:19,2019-06-04 05:50:37,83,138
3,2019-06-05 14:50:42,2019-06-23 15:59:46,138,84
3,2019-06-25 04:33:08,2019-07-11 18:52:08,84,91
3,2019-07-13 11:55:46,2019-08-03 01:32:51,91,35
3,2019-08-04 08:47:46,2019-08-25 02:53:40,35,57
3,2019-08-26 05:45:00,2019-09-24 17:49:18,57,120
3,2019-10-01 14:53:14,2019-10-11 13:32:22,120,165
3,2019-10-16 17:46:22,2019-11-15 21:56:24,165,23
4,2019-01-02 05:50:00,2019-01-25 15:35:00,99,57
4,2019-01-26 22:59:00,2019-02-15 19:46:00,57,54
4,2019-02-16 07:56:00,2019-02-21 01:36:00,54,7
4,2019-02-22 01:57:00,2019-03-11 09:52:00,7,104
4,2019-03-12 21:52:00,2019-03-27 03:56:00,104,13
4,2019-03-29 04:48:33,2019-04-24 13:14:24,13,138
4,2019-04-25 20:56:53,2019-05-13 16:31:43,138,134
4,2019-05-14 16:33:15,2019-05-31 08:52:24,134,10
4,2019-06-04 14:51:13,2019-06-13 01:28:05,10,20
4,2019-06-14 01:32:20,2019-06-25 07:33:53,20,138
4,2019-06-26 08:49:19,2019-07-24 08:24:53,138,134
4,2019-07-25 11:53:35,2019-07-30 05:24:11,134,55
4,2019-08-07 18:15:57,2019-09-30 23:12:21,55,91
4,2019-10-02 11:51:49,2019-10-26 23:47:17,91,54
4,2019-10-27 04:32:24,2019-11-05 02:29:00,54,34
4,2019-11-06 08:31:05,2019-11-08 00:43:23,34,38
4,2019-11-08 21:55:46,2019-12-01 08:36:01,38,55
4,2019-12-02 14:20:33,2019-12-27 10:24:29,55,18
5,2019-01-18 07:54:00,2019-02-02 10:54:00,104,29
5,2019-02-04 01:57:00,2019-02-14 16:53:00,29,99
5,2019-02-19 04:57:00,2019-03-03 04:55:00,99,149
5,2019-03-05 01:59:00,2019-04-04 22:14:52,149,91
5,2019-04-06 13:24:02,2019-04-21 10:14:30,91,83
5,2019-04-22 13:24:11,2019-04-24 13:23:50,83,138
5,2019-04-29 13:31:52,2019-05-22 10:31:03,138,134
5,2019-05-27 18:59:23,2019-06-20 07:31:27,134,10
5,2019-06-24 10:31:15,2019-07-05 08:41:18,10,134
5,2019-07-06 17:57:39,2019-07-26 16:30:52,134,97
5,2019-07-29 08:46:16,2019-08-06 17:46:15,97,83
5,2019-08-07 20:53:24,2019-08-09 17:55:29,83,138
5,2019-08-12 23:52:55,2019-09-04 23:34:30,138,84
